id,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,0,37,0,3,0,0,2,0,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,113
1,0,41,1,3,3,0,0,0,28,6,1,2,7768.0,1669,6099.0,797,1051,22,833,215
2,0,55,1,3,3,1,0,0,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,757
3,0,45,0,3,3,0,3,0,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,474,18
4,0,59,0,1,5,1,1,0,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,793
5,1,56,0,2,3,1,4,0,36,1,3,3,15769.0,0,15769.0,1.041,602,15,364,0.0
6,0,44,1,2,0,0,0,0,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,556,704
7,0,53,0,2,3,0,3,0,36,5,3,2,5272.0,1515,3757.0,857,1289,33,435,287
8,0,47,0,3,3,1,2,0,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,198
9,0,53,0,2,1,0,4,0,35,4,2,1,19040.0,2056,16984.0,607,1212,31,722,108
10,0,49,0,4,1,0,3,0,38,4,3,0,31302.0,1953,29349.0,875,1564,35,2.182,62
11,0,45,0,1,3,0,1,0,36,4,4,3,6576.0,0,6576.0,579,1465,34,619,0.0
12,0,64,0,1,3,1,0,0,52,6,4,3,1709.0,895,814.0,1.656,1673,32,882,524
13,0,53,0,3,5,1,1,0,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45
14,0,53,1,2,1,1,0,0,44,3,2,3,5362.0,1901,3461.0,816,1553,38,1.0,355
15,0,47,0,3,3,0,2,0,36,4,2,2,2926.0,0,2926.0,676,1304,24,846,0.0
16,0,52,0,2,1,0,1,0,45,3,1,2,13532.0,1300,12232.0,846,1521,29,1.417,96
17,0,57,0,4,3,1,3,0,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,86
18,1,48,1,5,1,1,0,0,38,1,3,3,8025.0,0,8025.0,654,673,18,0.8,0.0
19,0,41,1,2,3,0,0,0,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,941
20,0,50,1,1,3,0,1,1,31,2,2,3,18386.0,0,18386.0,868,1298,22,571,0.0
21,0,46,0,1,0,1,2,0,36,3,2,2,20459.0,2071,18388.0,1.248,1767,38,2.167,101
22,0,57,1,2,0,0,1,1,36,6,3,0,19482.0,1072,18410.0,706,1421,22,1.444,55
23,0,57,0,1,3,1,3,0,47,5,3,1,14612.0,1976,12636.0,1.768,1827,24,3.0,135
24,0,57,1,3,3,1,0,0,47,4,2,3,6347.0,1594,4753.0,896,1771,37,762,251
25,0,59,0,1,2,1,2,0,36,4,1,2,7871.0,1687,6184.0,1.242,1428,22,1.444,214
26,0,52,0,3,3,1,4,0,47,5,3,3,11086.0,2207,8879.0,869,1523,40,1.105,199
27,0,60,1,1,0,1,0,0,36,5,1,0,1913.0,1272,641.0,1.008,1448,22,1.0,665
28,0,51,0,2,3,1,4,0,44,4,3,3,34516.0,1666,32850.0,613,1218,18,0.8,48
29,0,51,1,2,3,1,0,0,46,5,2,2,5207.0,1650,3557.0,708,1339,20,538,317
30,1,45,0,2,3,0,2,0,36,1,1,2,3401.0,0,3401.0,898,744,18,1.0,0.0
31,0,44,0,3,3,0,2,0,37,2,3,2,14546.0,1703,12843.0,955,1273,27,588,117
32,0,62,1,0,1,1,1,0,52,5,2,3,2052.0,1250,802.0,728,1208,31,632,609
33,0,50,0,0,1,0,4,1,45,5,2,3,14938.0,2303,12635.0,804,949,27,2.0,154
34,0,45,0,2,0,1,2,0,36,5,3,2,2221.0,1343,878.0,869,1338,30,1.308,605
35,0,63,0,2,1,1,1,0,36,2,2,2,5007.0,930,4077.0,885,1050,28,1.154,186
36,0,48,0,3,3,0,3,1,37,3,2,3,34516.0,0,34516.0,448,1122,13,182,0.0
37,0,38,1,4,0,0,0,0,30,4,1,0,2569.0,1605,964.0,574,1190,46,643,625
38,0,52,0,3,3,0,3,0,42,6,3,3,2731.0,1692,1039.0,0.62,1220,22,692,0.62
39,0,41,0,5,1,1,2,0,33,5,3,3,22770.0,2517,20253.0,994,1882,38,652,111
