Média proporção (r=0, w=100) = 125
Média proporção (r=1, w=99) = 125
Média proporção (r=2, w=98) = 124
Média proporção (r=3, w=97) = 123
Média proporção (r=4, w=96) = 123
Média proporção (r=5, w=95) = 124
Média proporção (r=6, w=94) = 123
Média proporção (r=7, w=93) = 124
Média proporção (r=8, w=92) = 122
Média proporção (r=9, w=91) = 122
Média proporção (r=10, w=90) = 121
Média proporção (r=11, w=89) = 122
Média proporção (r=12, w=88) = 120
Média proporção (r=13, w=87) = 119
Média proporção (r=14, w=86) = 120
Média proporção (r=15, w=85) = 120
Média proporção (r=16, w=84) = 122
Média proporção (r=17, w=83) = 122
Média proporção (r=18, w=82) = 120
Média proporção (r=19, w=81) = 120
Média proporção (r=20, w=80) = 122
Média proporção (r=21, w=79) = 121
Média proporção (r=22, w=78) = 122
Média proporção (r=23, w=77) = 120
Média proporção (r=24, w=76) = 121
Média proporção (r=25, w=75) = 120
Média proporção (r=26, w=74) = 122
Média proporção (r=27, w=73) = 119
Média proporção (r=28, w=72) = 121
Média proporção (r=29, w=71) = 121
Média proporção (r=30, w=70) = 121
Média proporção (r=31, w=69) = 122
Média proporção (r=32, w=68) = 122
Média proporção (r=33, w=67) = 122
Média proporção (r=34, w=66) = 123
Média proporção (r=35, w=65) = 121
Média proporção (r=36, w=64) = 122
Média proporção (r=37, w=63) = 122
Média proporção (r=38, w=62) = 122
Média proporção (r=39, w=61) = 123
Média proporção (r=40, w=60) = 123
Média proporção (r=41, w=59) = 124
Média proporção (r=42, w=58) = 124
Média proporção (r=43, w=57) = 124
Média proporção (r=44, w=56) = 123
Média proporção (r=45, w=55) = 123
Média proporção (r=46, w=54) = 123
Média proporção (r=47, w=53) = 123
Média proporção (r=48, w=52) = 124
Média proporção (r=49, w=51) = 124
Média proporção (r=50, w=50) = 123
Média proporção (r=51, w=49) = 124
Média proporção (r=52, w=48) = 124
Média proporção (r=53, w=47) = 121
Média proporção (r=54, w=46) = 122
Média proporção (r=55, w=45) = 124
Média proporção (r=56, w=44) = 124
Média proporção (r=57, w=43) = 125
Média proporção (r=58, w=42) = 125
Média proporção (r=59, w=41) = 124
Média proporção (r=60, w=40) = 121
Média proporção (r=61, w=39) = 121
Média proporção (r=62, w=38) = 121
Média proporção (r=63, w=37) = 120
Média proporção (r=64, w=36) = 124
Média proporção (r=65, w=35) = 122
Média proporção (r=66, w=34) = 121
Média proporção (r=67, w=33) = 123
Média proporção (r=68, w=32) = 123
Média proporção (r=69, w=31) = 124
Média proporção (r=70, w=30) = 123
Média proporção (r=71, w=29) = 123
Média proporção (r=72, w=28) = 121
Média proporção (r=73, w=27) = 121
Média proporção (r=74, w=26) = 121
Média proporção (r=75, w=25) = 120
Média proporção (r=76, w=24) = 121
Média proporção (r=77, w=23) = 121
Média proporção (r=78, w=22) = 120
Média proporção (r=79, w=21) = 123
Média proporção (r=80, w=20) = 122
Média proporção (r=81, w=19) = 122
Média proporção (r=82, w=18) = 121
Média proporção (r=83, w=17) = 119
Média proporção (r=84, w=16) = 119
Média proporção (r=85, w=15) = 120
Média proporção (r=86, w=14) = 121
Média proporção (r=87, w=13) = 124
Média proporção (r=88, w=12) = 122
Média proporção (r=89, w=11) = 124
Média proporção (r=90, w=10) = 122
Média proporção (r=91, w=9) = 121
Média proporção (r=92, w=8) = 122
Média proporção (r=93, w=7) = 122
Média proporção (r=94, w=6) = 122
Média proporção (r=95, w=5) = 123
Média proporção (r=96, w=4) = 123
Média proporção (r=97, w=3) = 122
Média proporção (r=98, w=2) = 121
Média proporção (r=99, w=1) = 121
Média proporção (r=100, w=0) = 121
