número de leitores, número de escritores, tempo médio
0, 100, 120
1, 99, 119
2, 98, 119
3, 97, 119
4, 96, 120
5, 95, 119
6, 94, 120
7, 93, 120
8, 92, 120
9, 91, 118
10, 90, 119
11, 89, 120
12, 88, 119
13, 87, 119
14, 86, 119
15, 85, 119
16, 84, 119
17, 83, 120
18, 82, 121
19, 81, 119
20, 80, 120
21, 79, 119
22, 78, 119
23, 77, 121
24, 76, 119
25, 75, 121
26, 74, 119
27, 73, 122
28, 72, 123
29, 71, 119
30, 70, 119
31, 69, 119
32, 68, 118
33, 67, 117
34, 66, 120
35, 65, 118
36, 64, 119
37, 63, 119
38, 62, 118
39, 61, 119
40, 60, 121
41, 59, 118
42, 58, 119
43, 57, 119
44, 56, 119
45, 55, 120
46, 54, 121
47, 53, 119
48, 52, 118
49, 51, 120
50, 50, 118
51, 49, 120
52, 48, 120
53, 47, 118
54, 46, 118
55, 45, 119
56, 44, 119
57, 43, 118
58, 42, 119
59, 41, 120
60, 40, 118
61, 39, 119
62, 38, 118
63, 37, 120
64, 36, 118
65, 35, 118
66, 34, 119
67, 33, 119
68, 32, 120
69, 31, 120
70, 30, 119
71, 29, 120
72, 28, 120
73, 27, 121
74, 26, 118
75, 25, 118
76, 24, 118
77, 23, 118
78, 22, 118
79, 21, 118
80, 20, 118
81, 19, 120
82, 18, 120
83, 17, 120
84, 16, 118
85, 15, 119
86, 14, 118
87, 13, 118
88, 12, 118
89, 11, 118
90, 10, 118
91, 9, 119
92, 8, 118
93, 7, 118
94, 6, 118
95, 5, 118
96, 4, 119
97, 3, 118
98, 2, 118
99, 1, 119
100, 0, 118
