Média proporção (r=0, w=100) = 120
Média proporção (r=1, w=99) = 119
Média proporção (r=2, w=98) = 119
Média proporção (r=3, w=97) = 119
Média proporção (r=4, w=96) = 120
Média proporção (r=5, w=95) = 119
Média proporção (r=6, w=94) = 120
Média proporção (r=7, w=93) = 120
Média proporção (r=8, w=92) = 120
Média proporção (r=9, w=91) = 118
Média proporção (r=10, w=90) = 119
Média proporção (r=11, w=89) = 120
Média proporção (r=12, w=88) = 119
Média proporção (r=13, w=87) = 119
Média proporção (r=14, w=86) = 119
Média proporção (r=15, w=85) = 119
Média proporção (r=16, w=84) = 119
Média proporção (r=17, w=83) = 120
Média proporção (r=18, w=82) = 121
Média proporção (r=19, w=81) = 119
Média proporção (r=20, w=80) = 120
Média proporção (r=21, w=79) = 119
Média proporção (r=22, w=78) = 119
Média proporção (r=23, w=77) = 121
Média proporção (r=24, w=76) = 119
Média proporção (r=25, w=75) = 121
Média proporção (r=26, w=74) = 119
Média proporção (r=27, w=73) = 122
Média proporção (r=28, w=72) = 123
Média proporção (r=29, w=71) = 119
Média proporção (r=30, w=70) = 119
Média proporção (r=31, w=69) = 119
Média proporção (r=32, w=68) = 118
Média proporção (r=33, w=67) = 117
Média proporção (r=34, w=66) = 120
Média proporção (r=35, w=65) = 118
Média proporção (r=36, w=64) = 119
Média proporção (r=37, w=63) = 119
Média proporção (r=38, w=62) = 118
Média proporção (r=39, w=61) = 119
Média proporção (r=40, w=60) = 121
Média proporção (r=41, w=59) = 118
Média proporção (r=42, w=58) = 119
Média proporção (r=43, w=57) = 119
Média proporção (r=44, w=56) = 119
Média proporção (r=45, w=55) = 120
Média proporção (r=46, w=54) = 121
Média proporção (r=47, w=53) = 119
Média proporção (r=48, w=52) = 118
Média proporção (r=49, w=51) = 120
Média proporção (r=50, w=50) = 118
Média proporção (r=51, w=49) = 120
Média proporção (r=52, w=48) = 120
Média proporção (r=53, w=47) = 118
Média proporção (r=54, w=46) = 118
Média proporção (r=55, w=45) = 119
Média proporção (r=56, w=44) = 119
Média proporção (r=57, w=43) = 118
Média proporção (r=58, w=42) = 119
Média proporção (r=59, w=41) = 120
Média proporção (r=60, w=40) = 118
Média proporção (r=61, w=39) = 119
Média proporção (r=62, w=38) = 118
Média proporção (r=63, w=37) = 120
Média proporção (r=64, w=36) = 118
Média proporção (r=65, w=35) = 118
Média proporção (r=66, w=34) = 119
Média proporção (r=67, w=33) = 119
Média proporção (r=68, w=32) = 120
Média proporção (r=69, w=31) = 120
Média proporção (r=70, w=30) = 119
Média proporção (r=71, w=29) = 120
Média proporção (r=72, w=28) = 120
Média proporção (r=73, w=27) = 121
Média proporção (r=74, w=26) = 118
Média proporção (r=75, w=25) = 118
Média proporção (r=76, w=24) = 118
Média proporção (r=77, w=23) = 118
Média proporção (r=78, w=22) = 118
Média proporção (r=79, w=21) = 118
Média proporção (r=80, w=20) = 118
Média proporção (r=81, w=19) = 120
Média proporção (r=82, w=18) = 120
Média proporção (r=83, w=17) = 120
Média proporção (r=84, w=16) = 118
Média proporção (r=85, w=15) = 119
Média proporção (r=86, w=14) = 118
Média proporção (r=87, w=13) = 118
Média proporção (r=88, w=12) = 118
Média proporção (r=89, w=11) = 118
Média proporção (r=90, w=10) = 118
Média proporção (r=91, w=9) = 119
Média proporção (r=92, w=8) = 118
Média proporção (r=93, w=7) = 118
Média proporção (r=94, w=6) = 118
Média proporção (r=95, w=5) = 118
Média proporção (r=96, w=4) = 119
Média proporção (r=97, w=3) = 118
Média proporção (r=98, w=2) = 118
Média proporção (r=99, w=1) = 119
Média proporção (r=100, w=0) = 118
